experiment,size,max_iters,np,rep,rank,local_rows,total_sec,compute_sec,comm_sec,overhead_sec
process_sweep,8000,50,4,1,3,2000,3.4898649730000004,1.9002142559999973,1.589217545,0.00043317200000325684
process_sweep,8000,50,4,2,0,2000,3.46538714,2.2301710839999997,1.2345962890000006,0.0006197669999994382
process_sweep,8000,50,4,2,1,2000,3.461824996,2.189674615,1.271410686999998,0.0007396940000019558
process_sweep,8000,50,4,2,2,2000,3.46823501,1.6979145860000004,1.7697082050000015,0.000612218999997971
process_sweep,8000,50,4,2,3,2000,3.451455217,2.2491941049999995,1.2018637360000004,0.00039737600000000484
process_sweep,8000,50,4,3,0,2000,3.3409657659999996,2.2558268999999993,1.0845668130000001,0.0005720530000001833
process_sweep,8000,50,4,3,1,2000,3.328405352,2.1709024610000003,1.1569306200000007,0.0005722709999989029
process_sweep,8000,50,4,3,2,2000,3.336059282,1.6960176760000003,1.639379397000001,0.0006622089999985814
process_sweep,8000,50,4,3,3,2000,3.322963157,2.2330376549999986,1.089515563,0.00040993900000119154
process_sweep,8000,50,6,1,0,1334,3.6088942520000002,1.2366275119999992,2.371869909999999,0.00039683000000190205
process_sweep,8000,50,6,1,1,1334,3.618762603,1.6965740359999988,1.921750706,0.00043786100000109407
process_sweep,8000,50,6,1,2,1333,3.614526845,1.4274729749999993,2.1855616930000004,0.001492177000000261
process_sweep,8000,50,6,1,3,1333,3.621547825,1.3381653479999993,2.282978926000001,0.00040355099999977995
process_sweep,8000,50,6,1,4,1333,3.605564063,1.624184806999999,1.980934856999999,0.0004443990000022602
process_sweep,8000,50,6,1,5,1333,3.609483085,1.4603678399999998,2.1484139499999992,0.0007012950000007123
process_sweep,8000,50,6,2,0,1334,3.413165748,1.5049812019999986,1.9077774910000007,0.00040705500000060013
process_sweep,8000,50,6,2,1,1334,3.4269743910000003,1.279084976999999,2.147496119999999,0.000393294000002431
process_sweep,8000,50,6,2,2,1333,3.4192168990000003,1.480404567999999,1.937767245999999,0.0010450850000021106
process_sweep,8000,50,6,2,3,1333,3.426742679,1.4956317579999987,1.930732547,0.0003783740000014024
process_sweep,8000,50,6,2,4,1333,3.412998466,1.3037038079999999,2.108883752000002,0.0004109059999981568
process_sweep,8000,50,6,2,5,1333,3.410807447,1.5159908889999998,1.8941082710000017,0.0007082869999983643
process_sweep,8000,50,6,3,0,1334,3.2940389499999996,1.528779534,1.764855541,0.0004038749999994984
process_sweep,8000,50,6,3,1,1334,3.3004871430000002,1.6559863110000006,1.6437751859999994,0.0007256460000002463
process_sweep,8000,50,6,3,2,1333,3.294200849,1.4628320759999998,1.830505999000002,0.0008627739999982342
process_sweep,8000,50,6,3,3,1333,3.302749708,1.4889090889999994,1.8134792579999994,0.0003613610000010592
process_sweep,8000,50,6,3,4,1333,3.292564987,1.6375477140000008,1.6542461109999995,0.0007711619999997144
