experiment,kind,size,np,max_iters,rep,runtime_sec,objective,row_error,col_error,column_syncs,column_payload_bytes,hostnames,local_rows_by_rank,rank_compute_sec,rank_comm_sec,rank_total_sec,max_rank_compute_sec,max_rank_comm_sec,max_rank_overhead_sec,max_rank_total_sec,min_rank_total_sec,rank_imbalance_pct,json
baseline,mpi,4000,3,50,1,1.44148644,0.10001810744138509,4.003998677537188e-09,4.003998671519866e-09,50,1600000,vmubuntu;VMubuntu;quan,"[1334, 1333, 1333]","[0.733054639, 0.768780053, 0.6282050910000003]","[0.7052124280000007, 0.6716685180000004, 0.8116703979999997]","[1.438474685, 1.44148644, 1.4402863849999998]",0.768780053,0.8116703979999997,0.0010378689999996915,1.44148644,1.438474685,0.20893398067622124,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n4000_np3_iters50_rep1.json
baseline,mpi,4000,3,50,2,1.365908316,0.10001810744138509,4.003998677537188e-09,4.003998671519866e-09,50,1600000,vmubuntu;VMubuntu;quan,"[1334, 1333, 1333]","[0.7403639109999994, 0.7233857340000001, 0.591187873]","[0.6218211879999997, 0.6422876300000002, 0.7733899899999997]","[1.362397264, 1.365908316, 1.365010576]",0.7403639109999994,0.7733899899999997,0.00043271300000025104,1.365908316,1.362397264,0.2570488779424142,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n4000_np3_iters50_rep2.json
baseline,mpi,4000,3,50,3,1.381442906,0.10001810744138509,4.003998677537188e-09,4.003998671519866e-09,50,1600000,vmubuntu;VMubuntu;quan,"[1334, 1333, 1333]","[0.7379159839999998, 0.7343448490000005, 0.5838144129999997]","[0.638292019, 0.646058359, 0.7972734030000004]","[1.376414758, 1.380630754, 1.381442906]",0.7379159839999998,0.7972734030000004,0.0003550899999998913,1.381442906,1.376414758,0.36397798115009944,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n4000_np3_iters50_rep3.json
baseline,mpi,4000,3,50,4,1.462143591,0.10001810744138509,4.003998677537188e-09,4.003998671519866e-09,50,1600000,vmubuntu;VMubuntu;quan,"[1334, 1333, 1333]","[0.753966717, 0.7676080319999997, 0.5986804280000004]","[0.6941026850000007, 0.6942935419999999, 0.8476594929999994]","[1.4482899889999998, 1.462143591, 1.446723932]",0.7676080319999997,0.8476594929999994,0.00038401100000018396,1.462143591,1.446723932,1.0545926607286258,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n4000_np3_iters50_rep4.json
baseline,seq,5000,1,50,1,4.413804549,0.10002145491730256,5.004002774319262e-09,5.0040027965454065e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,4.413804549,4.413804549,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n5000_iters50_rep1.json
baseline,seq,5000,1,50,2,3.227300304,0.10002145491730256,5.004002774319262e-09,5.0040027965454065e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,3.227300304,3.227300304,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n5000_iters50_rep2.json
baseline,seq,5000,1,50,3,3.325595517,0.10002145491730256,5.004002774319262e-09,5.0040027965454065e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,3.325595517,3.325595517,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n5000_iters50_rep3.json
baseline,seq,5000,1,50,4,3.243012321,0.10002145491730256,5.004002774319262e-09,5.0040027965454065e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,3.243012321,3.243012321,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n5000_iters50_rep4.json
baseline,mpi,5000,3,50,1,2.893600987,0.1000214549172947,5.004002762338828e-09,5.004002785513649e-09,50,2000000,vmubuntu;VMubuntu;quan,"[1667, 1667, 1666]","[1.1482778420000004, 1.6370112749999999, 1.648107737000001]","[1.7389171110000001, 1.2551077309999994, 1.2445134189999998]","[2.888296539, 2.893356232, 2.893600987]",1.648107737000001,1.7389171110000001,0.0012372260000006463,2.893600987,2.888296539,0.18331649815683318,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n5000_np3_iters50_rep1.json
baseline,mpi,5000,3,50,2,1.920133575,0.1000214549172947,5.004002762338828e-09,5.004002785513649e-09,50,2000000,vmubuntu;VMubuntu;quan,"[1667, 1667, 1666]","[1.1446052649999998, 1.1218407079999992, 0.9077106989999999]","[0.7739999229999999, 0.7980272870000003, 1.00634396]","[1.9188716689999998, 1.920133575, 1.914556399]",1.1446052649999998,1.00634396,0.0005017400000002503,1.920133575,1.914556399,0.2904577094330456,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n5000_np3_iters50_rep2.json
