experiment,size,max_iters,np,rep,rank,local_rows,total_sec,compute_sec,comm_sec,overhead_sec
baseline,9000,50,3,1,2,3000,6.590737268,2.918465872999998,3.6709776199999995,0.001293775000002384
baseline,9000,50,3,2,0,3000,5.273470165,3.814728301000001,1.4580606160000038,0.0006812479999951382
baseline,9000,50,3,2,1,3000,5.273155952,4.588143911000002,0.6839107259999999,0.0011013149999976601
baseline,9000,50,3,2,2,3000,5.272821286,2.840218645000003,2.4319844600000002,0.0006181809999969978
baseline,9000,50,3,3,0,3000,5.601624385999999,3.383804353999999,2.217121671000001,0.0006983609999990925
baseline,9000,50,3,3,1,3000,5.602352962,4.936917171,0.664824677999998,0.0006111130000021614
baseline,9000,50,3,3,2,3000,5.599683123,2.798527855,2.8006278640000017,0.0005274039999982882
baseline,9000,50,3,4,0,3000,5.953505592,4.581751068999999,1.3711619620000037,0.0005925609999970494
baseline,9000,50,3,4,1,3000,5.952981211,4.982590732999999,0.9696112379999996,0.0007792400000009581
baseline,9000,50,3,4,2,3000,5.952262128,2.794475921000001,3.157376422999999,0.0004097839999999131
load_balance,8000,50,6,1,0,1334,183.468572985,1.5219073020000118,181.94620349599998,0.00046218700001077195
load_balance,8000,50,6,1,1,1334,183.543604311,1.862668179000009,181.68046555900003,0.0004705729999727737
load_balance,8000,50,6,1,2,1333,183.477534818,1.1822394960000042,182.294740179,0.0005551430000139135
load_balance,8000,50,6,1,3,1333,183.479552299,1.5125166760000148,181.966637135,0.0003984879999734403
load_balance,8000,50,6,1,4,1333,183.53586212,1.7546709209999922,181.780684429,0.0005067700000154218
load_balance,8000,50,6,1,5,1333,183.473779211,1.17809883900001,182.29514982900002,0.00053054299996802
load_balance,8000,50,6,2,0,1334,4.117395096,2.4061062520000016,1.709069961,0.002218882999998506
load_balance,8000,50,6,2,1,1334,4.126354252,1.712995472000001,2.411867902,0.0014908779999984745
load_balance,8000,50,6,2,2,1333,4.126528355,1.3052309480000015,2.8202000469999993,0.001097359999998826
load_balance,8000,50,6,2,3,1333,4.13303674,2.421251649999999,1.709060180999998,0.002724909000002773
load_balance,8000,50,6,2,4,1333,4.325043942,1.7851232249999986,2.5384169079999994,0.001503809000001688
load_balance,8000,50,6,2,5,1333,4.328534262000001,1.3702040989999997,2.955661895,0.002668268000001195
load_balance,8000,50,6,3,0,1334,6.315188472,1.7721412889999995,4.541184471000001,0.0018627119999994335
load_balance,8000,50,6,3,1,1334,6.325928941,1.2960886229999995,5.028357878,0.001482440000001084
load_balance,8000,50,6,3,2,1333,6.319906506,1.0866241230000009,5.232167883999999,0.0011144989999998245
load_balance,8000,50,6,3,3,1333,6.32779298,1.606601844000001,4.718537478999997,0.0026536570000015303
load_balance,8000,50,6,3,4,1333,6.3154547160000005,1.414878820000001,4.899056285,0.001519610999999088
load_balance,8000,50,6,3,5,1333,6.317786039,1.1238927780000005,5.192865986999999,0.0010272740000001335
