size,rep,variant,seq_key,seq_runtime_s,mpi_runtime_s,mpi_wall_s,speedup,efficiency,comm_mode,kernel_cutoff,sync_every,column_syncs,column_payload_bytes,payload_ratio_vs_double50,seq_iterations,mpi_iterations,mpi_row_error,mpi_col_error,objective_diff_vs_seq
5000,2,float32_comm,dense,3.5795650070000002,2.522899523,3.6618134459995417,1.418829792612395,0.7094148963061975,float32,0,1,50,1000000,0.5,50,50,4.320987996391228e-09,2.452554837963452e-08,2.3141605298704349e-10
5000,2,quantized_comm,dense,3.5795650070000002,2.5351693,3.934461523999744,1.4119629040159172,0.7059814520079586,quantized,0,1,50,1000000,0.5,50,50,3.801697366824118e-09,1.6712494377074325e-07,4.084014793015456e-10
5000,2,lazy_sync5,dense,3.5795650070000002,1.892582631,3.176474366999173,1.891365242588449,0.9456826212942245,lazy,0,5,10,400000,0.2,50,50,5.0003079012442275e-09,5.000307899130033e-09,2.3814283878209608e-14
5000,2,sparse_cutoff025,sparse_cutoff025,10.011899241,6.0173113990000004,7.262763557000653,1.6638492803719362,0.8319246401859681,double,0.25,1,50,2000000,1.0,50,50,5.000655403409075e-09,5.00065547068382e-09,2.1094237467877974e-14
5000,3,double_baseline,dense,3.456193072,2.715013421,4.339451929999996,1.2729929971127019,0.6364964985563509,double,0,1,50,2000000,1.0,50,50,5.000306883205493e-09,5.000306898411428e-09,2.3592239273284576e-14
5000,3,float32_comm,dense,3.456193072,2.57179116,3.736547937999603,1.3438855867285895,0.6719427933642947,float32,0,1,50,1000000,0.5,50,50,4.320987996391228e-09,2.452554837963452e-08,2.3141605298704349e-10
5000,3,quantized_comm,dense,3.456193072,2.1483226799999997,3.3286233359995094,1.6087867545111987,0.8043933772555993,quantized,0,1,50,1000000,0.5,50,50,3.801697366824118e-09,1.6712494377074325e-07,4.084014793015456e-10
5000,3,lazy_sync5,dense,3.456193072,1.863320296,3.098911408999811,1.8548572027146535,0.9274286013573267,lazy,0,5,10,400000,0.2,50,50,5.0003079012442275e-09,5.000307899130033e-09,2.3814283878209608e-14
5000,3,sparse_cutoff025,sparse_cutoff025,10.138962201,5.994626608,7.327112953000324,1.691341740529638,0.845670870264819,double,0.25,1,50,2000000,1.0,50,50,5.000655403409075e-09,5.00065547068382e-09,2.1094237467877974e-14
6000,1,double_baseline,dense,5.016459538,3.721508137,5.085873082999569,1.3479641460743637,0.6739820730371818,double,0,1,50,2400000,1.0,50,50,6.000310251024236e-09,6.000310264874919e-09,1.233457780358549e-13
