size,variant,seq_avg_s,mpi_np2_avg_s,speedup,efficiency,mpi_min_s,mpi_max_s,mpi_stdev_s,avg_column_syncs,avg_payload_bytes,payload_ratio_vs_double50,max_objective_diff_vs_seq,avg_mpi_row_error,avg_mpi_col_error,iterations
7000,lazy_sync5,6.157410903333333,3.289273193,1.8719670097446153,0.9359835048723076,3.200469771,3.349079837,0.07843371583647601,10,560000,0.2,5.051514762044462e-15,7.000311797627275e-09,7.000311739974825e-09,50
7000,sparse_cutoff025,19.026003579,10.827652264000001,1.7571679543365135,0.8785839771682568,10.718676235,10.938783187,0.11006929751659184,50,2800000,1.0,1.021405182655144e-14,7.00065926078795e-09,7.000659280764375e-09,50
8000,double_baseline,7.762369580666666,5.790090362666667,1.3406301274185388,0.6703150637092694,5.727874787,5.905968415999999,0.10044441898180027,50,3200000,1.0,1.0513812043200232e-13,8.000316357336572e-09,8.00031631624531e-09,50
8000,float32_comm,7.762369580666666,4.947495497333334,1.5689492966391845,0.7844746483195922,4.895528273,5.014920365,0.06117860705425981,50,1600000,0.5,3.055103392490821e-10,7.113567363278969e-09,3.9328249671439705e-08,50
8000,quantized_comm,7.762369580666666,4.899074897666667,1.5844561968962203,0.7922280984481102,4.854363137,4.932953554,0.0403996351862382,50,1600000,0.5,5.01552743781275e-10,9.392514115427741e-09,2.671886822042764e-07,50
8000,lazy_sync5,7.762369580666666,4.198444691,1.8488678908421678,0.9244339454210839,4.179469632,4.212928141,0.017175531132469547,10,640000,0.2,1.0591527654923993e-13,8.000318873444554e-09,8.000318843086893e-09,50
8000,sparse_cutoff025,24.781047429333334,13.945409332666667,1.7770039471903156,0.8885019735951578,13.595657983,14.306220524,0.3554103561256522,50,3200000,1.0,3.813616089587413e-14,8.000675099615077e-09,8.000675066194545e-09,50
9000,double_baseline,9.710673023333333,6.969774895666666,1.393254899720043,0.6966274498600215,6.852861067999999,7.151109029,0.1592182257054904,50,3600000,1.0,1.0902390101819037e-13,9.000313692762848e-09,9.00031373701185e-09,50
9000,float32_comm,9.710673023333333,5.939308149333334,1.6349838700359944,0.8174919350179972,5.875907554,6.018595509,0.0726584825485478,50,1800000,0.5,2.4410251597828392e-11,9.072261028994478e-09,2.2957294848054382e-08,50
9000,quantized_comm,9.710673023333333,6.248756807666666,1.5540167944156837,0.7770083972078419,5.914692257,6.862367439,0.5321010910125579,50,1800000,0.5,1.0137335415549842e-10,9.305786915082392e-09,3.024655514175103e-07,50
9000,lazy_sync5,9.710673023333333,5.224180889333334,1.8587934126018613,0.9293967063009306,5.170848316,5.255329476,0.046404348363666845,10,720000,0.2,1.0791367799356522e-13,9.000316928198314e-09,9.000316978003851e-09,50
9000,sparse_cutoff025,31.319403686666668,17.083289925,1.8333356059732546,0.9166678029866273,16.966127366000002,17.171517033,0.10570796597713215,50,3600000,1.0,5.390132784555135e-14,9.000670765830793e-09,9.000670763160946e-09,50
10000,double_baseline,11.990264952,8.228873610666668,1.45709674486404,0.72854837243202,8.101961933,8.353301985,0.12568842640205444,50,4000000,1.0,8.354428260304303e-14,1.0000311727960311e-08,1.000031173637643e-08,50
10000,float32_comm,11.990264952,7.175472689666667,1.6710069803857064,0.8355034901928532,6.922257361,7.339983465,0.22254246297573066,50,2000000,0.5,1.905015589720449e-10,9.451711519622031e-09,2.521664193205547e-08,50
10000,quantized_comm,11.990264952,7.175616485333333,1.670973494264585,0.8354867471322925,7.036065729000001,7.292794846,0.12981853852512437,50,2000000,0.5,2.53199483601918e-09,2.602090839795416e-09,3.360849593031474e-07,50
10000,lazy_sync5,11.990264952,6.440460884,1.8617091490746176,0.9308545745373088,6.29749172,6.605247964,0.1550338431574996,10,800000,0.2,8.498757253505573e-14,1.0000315705003615e-08,1.0000315714964723e-08,50
10000,sparse_cutoff025,38.62976950266667,20.995664843,1.8398926536277758,0.9199463268138879,20.778314999,21.336086143,0.298558369052413,50,4000000,1.0,1.0064171718227044e-13,1.0000668288336154e-08,1.0000668299530542e-08,50
11000,double_baseline,14.516182858999999,9.653484961333334,1.5037246048596975,0.7518623024298488,9.494661915,9.79906347,0.15263236879871622,50,4400000,1.0,2.1066481892262345e-13,1.1000308553486306e-08,1.1000308586202106e-08,50
11000,float32_comm,14.516182858999999,8.615356350999999,1.6849196095429158,0.8424598047714579,8.502821862,8.674068238,0.09748838232231163,50,2200000,0.5,1.5878776071787115e-10,1.1465555036210134e-08,2.8497040243985385e-08,50
11000,quantized_comm,14.516182858999999,8.520365852,1.7037041731714597,0.8518520865857299,8.409891803,8.583459563,0.09599538608495706,50,2200000,0.5,2.5071930642717177e-09,3.6992607533112157e-09,3.6640903070386864e-07,50
11000,lazy_sync5,14.516182858999999,7.611377499,1.9071689534393963,0.9535844767196981,7.571469640999999,7.655376882,0.0421029892724644,10,880000,0.2,2.1238566461079245e-13,1.1000313413449649e-08,1.1000313444051255e-08,50
11000,sparse_cutoff025,46.35642012066667,25.213581560999998,1.838549593143487,0.9192747965717435,25.138094018,25.331066074,0.1031133488744419,50,4400000,1.0,6.639133687258436e-14,1.1000661142714194e-08,1.1000661153176745e-08,50
12000,double_baseline,17.292909127,11.195550609333335,1.5446233714118103,0.7723116857059051,11.186394108,11.201696871000001,0.008083303532382883,50,4800000,1.0,8.865130851631875e-14,1.2000304193559197e-08,1.2000304168243076e-08,50
12000,float32_comm,17.292909127,9.895246510666666,1.7475976074329185,0.8737988037164592,9.816095805,10.027250847,0.11507277109069583,50,2400000,0.5,5.531936020375383e-11,1.2162248736363778e-08,3.077513447095751e-08,50
12000,quantized_comm,17.292909127,9.997453045333334,1.7297314674633137,0.8648657337316569,9.887908069,10.158676649,0.14259002900307355,50,2400000,0.5,1.3508749674429055e-09,8.103664792154242e-09,4.020819390306886e-07,50
12000,lazy_sync5,17.292909127,9.142226466,1.8915424148934008,0.9457712074467004,9.039775722,9.317531795999999,0.15253836300058007,10,960000,0.2,9.070522111187529e-14,1.2000309954914674e-08,1.200030993531772e-08,50
12000,sparse_cutoff025,55.08782132899999,29.595220534333333,1.8613755983028668,0.9306877991514334,29.560113409,29.656626743,0.05336138349105272,50,4800000,1.0,7.654987754790454e-14,1.2000653285286402e-08,1.2000653243463303e-08,50
